Year,CountyCode,CountyName,CauseOfLossCode,CauseOfLossDescription,MonthOfLoss,MonthOfLossName,PoliciesEarningPremium,PoliciesIndemnified,NetPlantedAcres,Liability,TotalPremium,NetAcresLoss,Indemnity,IndemnityByPremium
2001,7,Butte                         ,12,Heat                                                                                                ,5,MAY,1,1,21.3,8275.2,279,21.3,3332.4,11.94
2001,7,Butte                         ,12,Heat                                                                                                ,8,AUG,2,2,54.09,21439,1275,54.09,648,0.51
2001,7,Butte                         ,44,Cold Wet Weather                                                                                    ,7,JUL,1,1,25,7649,301,25,984,3.27
2001,7,Butte                         ,61,Wind/Excess Wind                                                                                    ,5,MAY,1,1,49.7,19308.8,651,49.7,7775.6,11.94
2001,7,Butte                         ,93,Wildlife                                                                                            ,6,JUN,4,4,198.79,68940,2157,198.79,8228,3.81
2001,7,Butte                         ,99,"Other (Snow,Lightning,etc)                                                                        ",6,JUN,1,1,68,31783,1734,68,8037,4.63
2001,7,Butte                         ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,3,3,324.1,120613,8636,324.1,21874,2.53
2001,11,Colusa                        ,1,Decline in Price                                                                                    ,12,DEC,1,1,235.92,80687,4255,235.92,31237,7.34
2001,11,Colusa                        ,12,Heat                                                                                                ,6,JUN,1,1,10.28,3309,124,10.28,518,4.18
2001,11,Colusa                        ,12,Heat                                                                                                ,8,AUG,2,2,133,59593,3247,133,10501,3.23
2001,11,Colusa                        ,13,Failure Of Irrigation Supply                                                                        ,5,MAY,2,2,311.4,19773,791,311.4,19773,25
2001,11,Colusa                        ,13,Failure Of Irrigation Supply                                                                        ,3,MAR,2,2,164,29039,2463,164,29039,11.79
2001,11,Colusa                        ,13,Failure Of Irrigation Supply                                                                        ,3,MAR,3,3,440.1,118285,12216,440.1,118285,9.68
2001,11,Colusa                        ,61,Wind/Excess Wind                                                                                    ,5,MAY,1,1,42,16702.2,536.7,42,4266.9,7.95
2001,11,Colusa                        ,93,Wildlife                                                                                            ,5,MAY,1,1,98,38971.8,1252.3,98,9956.1,7.95
